id,russian,type,gender,aspect,english,archived
251,по́лный,adj,,,full; complete,FALSE
252,узна́ть,verb,,perf,to find out; to learn,FALSE
253,любой,adj,,,any; every,FALSE
254,бог,noun,masc,,God,FALSE
255,прийти́,verb,,perf,to come; to arrive (on foot),FALSE
256,ходи́ть,verb,,imp,to go; to walk,FALSE
257,заме́тить,verb,,perf,to notice,FALSE
258,изве́стный,adj,,,well-known; famous,FALSE
259,па́лец,noun,masc,,finger; toe,FALSE
260,сло́вно,conj,,,as if; like,FALSE
261,наконе́ц,adv,,,at last; finally,FALSE
262,о́бщий,adj,,,general; common,FALSE
263,и́мя,noun,neut,,name,FALSE
264,наза́д,adv,,,ago; backwards; back,FALSE
265,быва́ть,verb,,imp,to happen,FALSE
266,мысль,noun,fem,,thought,FALSE
267,слы́шать,verb,,imp,to hear,FALSE
268,уйти́,verb,,perf,to leave; to go away,FALSE
269,про́шлый,adj,,,past; former,FALSE
270,боя́ться,verb,,imp,to be afraid; to fear,FALSE
271,бы́стро,adv,,,quickly; fast,FALSE
272,давно́,adv,,,long ago; for a long time,FALSE
273,слу́шать,verb,,imp,to listen,FALSE
274,пря́мо,adv,,,straight; directly; right,FALSE
275,разгово́р,noun,masc,,conversation,FALSE
276,до́лго,adv,,,for a long time; long,FALSE
277,нельзя́,adv,,,one may not,FALSE
278,похо́жий,adj,,,similar; alike,FALSE
279,пра́во,noun,neut,,right; law,FALSE
280,лес,noun,masc,,forest; wood,FALSE
281,пять,num,,,five,FALSE
282,гляде́ть,verb,,imp,to gaze; to look,FALSE
283,сын,noun,masc,,son,FALSE
284,путь,noun,masc,,way; path; journey,FALSE
285,ты́сяча,num,,,thousand,FALSE
286,пора́,noun,fem,,time; it is time,FALSE
287,кра́сный,adj,,,red,FALSE
288,сесть,verb,,perf,to sit down,FALSE
289,оно́,pron,,,it,FALSE
290,кро́ме,prep,,,except; besides,FALSE
291,стена́,noun,fem,,wall,FALSE
292,остава́ться,verb,,imp,to remain; to stay,FALSE
293,ж,part,,,and; but (short particle),FALSE
294,высо́кий,adj,,,high; tall,FALSE
295,хоте́ться,verb,,imp,to want; to feel like,FALSE
296,соверше́нно,adv,,,completely; perfectly,FALSE
297,поэ́тому,adv,,,therefore; that is why,FALSE
298,написа́ть,verb,,perf,to write,FALSE
299,пусть,part,,,let; let it (particle),FALSE
300,ра́нний,adj,,,early,FALSE
301,чита́ть,verb,,imp,to read,FALSE
302,чу́вствовать,verb,,imp,to feel,FALSE
303,спина́,noun,fem,,back,FALSE
304,ме́сяц,noun,masc,,month,FALSE
305,це́лый,adj,,,whole; entire,FALSE
306,вести́,verb,,imp,to lead; to conduct,FALSE
307,молодо́й,adj,,,young,FALSE
308,огромный,adj,,,enormous; huge,FALSE
309,те́ло,noun,neut,,body,FALSE
310,настоя́щий,adj,,,real; genuine; present,FALSE
311,продолжа́ть,verb,,imp,to continue,FALSE
312,то́чно,adv,,,exactly; precisely,FALSE
313,язы́к,noun,masc,,language; tongue,FALSE
314,ма́ма,noun,fem,,mum; mummy,FALSE
315,среди́,prep,,,among; amidst,FALSE
316,стари́к,noun,masc,,old man,FALSE
